state,latitude,longitude,quarter,temperature_2m_meanmean,temperature_2m_meansum,relative_humidity_2m_meanmean,relative_humidity_2m_meansum,wind_speed_10m_maxmax,temperature_2m_maxmax,relative_humidity_2m_maxmax,temperature_2m_minmin,relative_humidity_2m_minmin,precipitation_hours_sum,moderate_drizzle_sum,moderate_rain_sum,light_rain_sum,heavy_rain_sum,overcast_sum,partly_cloudy_sum,clear_sky_sum,light_drizzle_sum,mainly_clear_sum,heavy_drizzle_sum,light_snow_sum,heavy_snow_sum,moderate_snow_sum,year,D0_mean,D1_mean,D2_mean,D3_mean,D4_mean,D0_max,D1_max,D2_max,D3_max,D4_max,state_code,num_colonies,varroa_mites,other_pests_and_parasites,diseases,pesticides,other_or_unknown
Ohio,40.388783,-82.764915,1,1.368661997901099,124.548241809,69.32842887912088,6308.887028,36.575005,21.724499,99.021225,-18.5755,30.068485,326.0,3,8,4,0,37,2,0,7,0,2,17,1,10,2016,0.8292307692307692,0.0,0.0,0.0,0.0,10.78,0.0,0.0,0.0,0.0,OH,16500.0,41.6,4.3,0.2,1.3,10.2
Wyoming,42.755966,-107.30249,2,7.971833692802198,725.436866045,57.28119334615385,5212.5885945,43.07081,31.4385,99.26324,-15.511499,5.6767077,283.0,11,0,4,0,26,11,3,17,7,0,2,2,8,2016,28.821538461538463,7.521538461538461,1.7192307692307691,0.063076923076923,0.0,47.26,12.84,4.77,0.82,0.0,WY,6500.0,7.1,2.6,1.2,0.6,2.5
Arkansas,34.969704,-92.373123,2,21.319374648351648,1940.063093,72.55373692307693,6602.39006,28.58545,35.336502,100.0,4.6865,27.567984,329.0,11,9,9,1,19,7,7,17,6,5,0,0,0,2016,11.064615384615385,0.0,0.0,0.0,0.0,28.75,0.0,0.0,0.0,0.0,AR,24000.0,84.9,8.5,5.5,0.1,3.4
Idaho,44.068202,-114.742043,2,5.135073284208791,467.291668863,61.159571142857146,5565.520974,26.867676,25.25,100.0,-8.5,14.441558,330.0,7,0,2,0,22,7,9,15,2,0,7,8,12,2016,12.595384615384615,0.0692307692307692,0.0,0.0,0.0,39.88,0.3,0.0,0.0,0.0,ID,60000.0,21.2,4.8,2.7,3.1,5.4
New York,42.165726,-74.948051,2,11.026256623406594,1003.38935273,68.64538765934066,6246.730277,35.87197,28.541,100.0,-12.709,24.071968,333.0,7,8,8,0,33,6,2,16,0,3,4,1,3,2016,42.55538461538462,1.7207692307692308,0.0,0.0,0.0,91.85,16.14,0.0,0.0,0.0,NY,31000.0,20.4,3.1,0.9,11.7,4.1
Tennessee,35.747845,-86.692345,2,20.174724978021978,1835.899973,65.5751906043956,5967.342345,27.343414,35.1375,100.0,3.2875001,27.360886,252.0,6,11,12,0,27,3,6,18,6,2,0,0,0,2016,52.71538461538462,25.576153846153847,1.893076923076923,0.0107692307692307,0.0,70.54,47.28,8.52,0.14,0.0,TN,8000.0,40.9,22.7,0.1,0.4,9.1
North Carolina,35.630066,-79.806419,2,19.944827453846155,1814.9792983,65.16916005494505,5930.393565,29.882166,36.1155,100.0,0.36549997,12.295251,324.0,5,11,12,0,32,5,4,16,3,3,0,0,0,2016,36.75769230769231,7.843846153846154,0.3246153846153846,0.0,0.0,84.47,13.4,2.15,0.0,0.0,NC,23000.0,51.8,23.5,4.7,33.8,41.7
Oregon,44.572021,-122.070938,2,10.306295536263736,937.8728938,72.46149462637362,6593.996011,19.694992,31.15,100.0,-1.35,21.725447,482.0,15,1,2,0,35,3,3,12,2,5,4,1,8,2016,74.66615384615385,30.861538461538466,0.5384615384615384,0.0,0.0,100.0,44.55,1.0,0.0,0.0,OR,77000.0,52.7,14.5,9.9,2.6,16.7
Wisconsin,44.268543,-89.616508,2,13.600698850934066,1237.663595435,63.61438714285715,5788.90923,33.270313,31.838999,99.68719,-5.661,24.523565,292.0,6,7,10,0,34,6,1,9,2,8,4,0,4,2016,3.661538461538462,0.0,0.0,0.0,0.0,20.46,0.0,0.0,0.0,0.0,WI,18500.0,23.4,3.7,12.8,12.6,14.9
California,36.116203,-119.681564,2,24.6425348021978,2242.470667,34.23579048351648,3115.456934,27.77838,43.1065,93.464775,8.9565,4.7103076,51.0,1,1,3,0,35,18,15,5,13,0,0,0,0,2016,96.5023076923077,87.0823076923077,66.48,46.63307692307693,22.67692307692308,100.0,90.58,74.37,55.25,31.68,CA,1110000.0,49.7,14.1,11.2,14.2,15.3
Maryland,39.045753,-76.641273,2,16.80263400989011,1529.0396949,71.36865341758242,6494.547461,35.302032,31.865501,100.0,-0.7845,22.436623,399.0,10,14,11,0,23,7,4,15,2,4,1,0,0,2016,23.075384615384618,0.7292307692307692,0.0,0.0,0.0,96.21,2.37,0.0,0.0,0.0,MD,8000.0,4.2,2.3,2.4,2.9,3.3
Massachusetts,42.407211,-71.382439,2,13.998481904395604,1273.8618533,64.67850527472528,5885.74398,30.29566,32.5885,100.0,-6.2115,13.685446,242.0,7,7,8,0,45,1,5,9,3,3,1,1,1,2016,45.99076923076923,7.057692307692308,0.0,0.0,0.0,96.47,39.12,0.0,0.0,0.0,MA,4200.0,40.5,10.6,0.3,10.6,11.9
Nebraska,41.12537,-98.268082,2,17.318931510989014,1576.0227675,63.34034430769231,5763.971332,48.654636,35.7565,100.0,-0.6435,18.956535,324.0,7,10,6,0,24,12,4,19,7,2,0,0,0,2016,8.389999999999999,0.2415384615384615,0.0,0.0,0.0,35.05,2.23,0.0,0.0,0.0,NE,19500.0,6.1,0.1,1.0,3.8,3.5
Utah,39.32098,-111.093735,2,9.962361948505494,906.574937314,45.62771494505494,4152.12206,25.199997,31.122002,98.21642,-6.328,5.8980336,332.0,8,2,5,0,21,10,5,14,5,4,8,3,6,2016,61.68461538461538,11.15846153846154,3.9353846153846153,0.0,0.0,95.59,30.09,12.79,0.0,0.0,UT,14500.0,23.0,0.1,1.8,7.3,3.4
Texas,31.054487,-97.563461,2,22.7004560989011,2065.741505,73.41591403296704,6680.848177,32.112724,34.344,99.69228,7.444,18.32355,321.0,4,18,6,2,26,5,4,17,6,3,0,0,0,2016,9.003846153846153,1.29,0.0476923076923076,0.0,0.0,25.97,4.59,0.35,0.0,0.0,TX,340000.0,26.1,9.0,7.5,2.4,7.4
Hawaii,20.902977,-156.207483,2,24.86494514285714,2262.710008,75.20681096703296,6843.819798,41.0968,29.344501,94.63985,21.244501,48.60227,1051.0,19,0,6,0,5,3,0,51,4,3,0,0,0,2016,75.92461538461538,59.87076923076923,34.059999999999995,3.890769230769231,0.0,98.44,79.45,50.19,5.53,0.0,HI,13500.0,35.6,38.1,0.0,0.6,3.2
New Jersey,40.298904,-74.521011,2,15.919979336263737,1448.7181196,67.66513003296703,6157.526833,36.04497,32.276,100.0,-2.674,24.048203,314.0,9,9,12,0,33,5,3,15,0,3,1,0,1,2016,42.11,8.914615384615384,0.0,0.0,0.0,72.32,40.03,0.0,0.0,0.0,NJ,4200.0,11.9,0.9,0.2,0.0,0.3
Illinois,40.633125,-89.398529,2,17.086188173076923,1554.84312375,65.2846870989011,5940.906526,45.05756,33.829,99.680466,-3.871,23.660141,291.0,11,7,13,1,27,5,1,9,11,5,1,0,0,2016,9.429230769230768,0.3969230769230769,0.0,0.0,0.0,35.76,2.78,0.0,0.0,0.0,IL,9000.0,11.4,4.4,2.0,3.1,4.7
Louisiana,31.169546,-91.867805,2,23.463615571428573,2135.189017,74.4449317912088,6774.488793,26.554728,35.135002,100.0,7.985,33.040516,345.0,8,13,7,1,28,4,5,13,4,8,0,0,0,2016,7.250769230769231,0.13,0.0,0.0,0.0,15.06,1.69,0.0,0.0,0.0,LA,52000.0,20.7,1.1,0.0,0.3,1.2
Oklahoma,35.565342,-96.928917,2,21.49959024175824,1956.462712,65.12923884615384,5926.760735,33.2781,36.209,99.10222,4.009,18.635666,261.0,6,9,9,4,28,3,6,16,8,2,0,0,0,2016,22.970769230769232,7.266153846153846,0.6730769230769231,0.0,0.0,73.16,31.9,5.45,0.0,0.0,OK,12000.0,51.8,2.8,0.2,1.2,0.6
Ohio,40.388783,-82.764915,2,15.115616931868132,1375.5211408,68.0189066043956,6189.720501,38.41387,30.9245,99.37986,-4.7255,31.644245,391.0,8,9,15,1,29,3,4,15,1,3,1,0,2,2016,11.724615384615385,0.0,0.0,0.0,0.0,75.52,0.0,0.0,0.0,0.0,OH,14000.0,10.6,2.2,0.6,18.3,2.9
Maine,45.367584,-68.972168,2,10.765119931978022,979.62591381,65.64349065934066,5973.55765,30.599998,29.983,100.0,-11.766999,17.469313,292.0,7,4,11,1,38,10,1,11,3,2,2,0,1,2016,17.155384615384616,2.375384615384615,0.0,0.0,0.0,73.41,12.54,0.0,0.0,0.0,ME,3600.0,82.7,0.0,4.3,31.1,27.9
West Virginia,38.491226,-80.954456,2,16.645621319780222,1514.7515401,74.23037381318682,6754.964017,31.235058,31.1165,100.0,-3.5335,25.763435,526.0,10,10,19,2,23,2,3,13,3,4,1,0,1,2016,23.98923076923077,4.211538461538462,0.0,0.0,0.0,81.1,33.95,0.0,0.0,0.0,WV,7000.0,20.1,0.8,4.2,0.0,14.7
Indiana,39.849426,-86.258278,2,16.925635843296703,1540.23286174,67.74695150549451,6164.972587,46.752895,32.835003,100.0,-3.015,30.425398,332.0,6,12,15,0,28,4,5,15,6,0,0,0,0,2016,11.876923076923076,0.0,0.0,0.0,0.0,78.7,0.0,0.0,0.0,0.0,IN,4300.0,12.5,2.9,0.0,2.1,4.3
Virginia,37.769337,-78.169968,2,18.784430098901097,1709.383139,65.6893512967033,5977.730968,31.608328,35.5535,100.0,-0.9965,21.359413,331.0,11,9,10,0,29,6,3,15,4,4,0,0,0,2016,21.66307692307692,0.61,0.0,0.0,0.0,95.07,4.08,0.0,0.0,0.0,VA,6000.0,23.1,4.2,6.8,6.0,7.3
Iowa,42.011539,-93.210526,2,16.278718499505494,1481.363383455,66.36440729670329,6039.161064,42.793083,32.482998,100.0,-6.1670003,24.986366,275.0,6,13,9,1,27,10,3,13,4,4,0,0,1,2016,11.405384615384616,2.164615384615385,0.0,0.0,0.0,51.66,16.45,0.0,0.0,0.0,IA,10500.0,23.5,17.8,18.7,0.6,6.0
Kansas,38.5266,-96.726486,2,19.77960289010989,1799.943863,62.64254015384615,5700.471154,43.38261,38.640503,99.68221,1.2405,12.828249,291.0,10,13,7,2,24,7,5,15,5,3,0,0,0,2016,27.74923076923077,8.75153846153846,0.0107692307692307,0.0,0.0,97.45,51.98,0.14,0.0,0.0,KS,4700.0,47.3,11.6,2.8,8.3,3.7
New Mexico,34.840515,-106.248482,2,16.09516965934066,1464.660439,36.09658094505495,3284.788866,34.449196,34.3125,98.95089,-2.3875,3.5099282,152.0,12,0,2,0,33,13,7,15,4,3,0,0,2,2016,86.22076923076922,34.75846153846154,0.02,0.0,0.0,96.89,44.21,0.26,0.0,0.0,NM,6500.0,59.1,0.3,12.1,2.5,8.2
North Dakota,47.528912,-99.784012,2,13.040932645714284,1186.72487076,63.01199587912088,5734.091625,41.93343,30.569,99.65785,-6.0309997,20.981218,255.0,9,4,8,1,32,7,1,16,7,3,1,0,2,2016,34.26769230769231,5.81076923076923,0.0146153846153846,0.0,0.0,90.45,30.27,0.19,0.0,0.0,ND,110000.0,16.2,3.7,2.1,1.1,3.6
South Dakota,44.299782,-99.438828,2,15.361408176923078,1397.8881441,61.90277828571429,5633.152824,44.391083,34.924,100.0,-3.126,18.871914,263.0,10,6,5,0,29,5,5,16,7,5,0,1,2,2016,25.834615384615383,6.693076923076922,0.7261538461538461,0.0623076923076923,0.0,61.48,38.91,5.81,0.81,0.0,SD,51000.0,32.4,6.6,1.7,5.1,15.4
Missouri,38.456085,-92.288368,2,19.647863791208792,1787.955605,64.92396287912088,5908.080622,29.275326,37.9415,100.0,0.49150002,22.630373,265.0,8,10,14,1,29,8,4,7,8,2,0,0,0,2016,45.32615384615384,3.84,0.0,0.0,0.0,75.83,14.37,0.0,0.0,0.0,MO,12000.0,17.2,1.6,0.7,0.1,1.6
Minnesota,46.39241,-94.63623,2,13.033923341208792,1186.08702405,64.48685372527473,5868.303689,34.882866,31.119501,100.0,-6.6805,23.97993,273.0,9,10,5,0,36,3,1,13,0,6,5,0,3,2016,19.063076923076924,0.5338461538461539,0.0015384615384615,0.0,0.0,42.88,3.35,0.02,0.0,0.0,MN,27000.0,20.8,6.0,6.5,18.2,8.6
Florida,27.766279,-81.686783,2,24.519479483516484,2231.272633,73.04428012087912,6647.029491,28.820242,33.113,99.69937,11.662999,26.107058,340.0,4,15,8,8,23,9,3,13,3,5,0,0,0,2016,4.039230769230769,0.0,0.0,0.0,0.0,11.36,0.0,0.0,0.0,0.0,FL,240000.0,48.2,23.3,10.0,11.6,10.1
South Carolina,33.856892,-80.945007,2,22.091186527472527,2010.297974,65.0214046043956,5916.947819,30.962095,35.728,99.69512,3.4780002,18.864256,310.0,5,10,15,0,34,4,6,7,5,5,0,0,0,2016,34.113076923076925,6.794615384615384,0.443076923076923,0.0,0.0,56.32,12.4,3.85,0.0,0.0,SC,12500.0,51.3,36.6,1.0,35.8,14.3
Vermont,44.045876,-72.710686,2,9.414032094835166,856.67692063,66.42642813186814,6044.80496,29.69727,27.9065,100.0,-11.5935,18.741957,332.0,9,10,5,0,36,3,3,11,2,3,2,2,5,2016,24.826153846153847,0.9069230769230768,0.0,0.0,0.0,99.74,11.56,0.0,0.0,0.0,VT,5000.0,2.6,0.1,0.1,0.0,0.3
Connecticut,41.597782,-72.755371,2,14.539516356043954,1323.0959884,66.6184333956044,6062.277439,31.76375,31.306,100.0,-7.594,14.954244,300.0,9,5,11,0,43,5,2,8,0,5,1,1,1,2016,62.69846153846154,4.594615384615384,0.0,0.0,0.0,100.0,40.33,0.0,0.0,0.0,CT,2500.0,9.3,0.6,0.5,0.3,4.4
Washington,47.400902,-121.490494,2,10.979681174725275,999.1509869,77.12519170329671,7018.392445,17.287498,30.0735,100.0,-0.42650002,23.169073,545.0,11,0,11,0,30,6,1,18,4,6,3,0,1,2016,40.51461538461539,0.8376923076923077,0.0,0.0,0.0,100.0,3.63,0.0,0.0,0.0,WA,91000.0,40.9,11.4,3.3,3.1,11.1
Mississippi,32.741646,-89.678696,2,22.585427681318684,2055.273919,69.12299834065934,6290.192849,27.666182,36.5455,100.0,7.7454996,24.667326,276.0,11,10,9,2,26,6,4,15,5,3,0,0,0,2016,32.371538461538464,5.2192307692307685,0.0,0.0,0.0,75.87,29.46,0.0,0.0,0.0,MS,85000.0,12.3,2.3,1.2,2.7,1.2
Alabama,32.806671,-86.79113,2,22.222027021978025,2022.204459,67.82080884615385,6171.693605,25.20257,36.599503,100.0,8.0495,26.378862,251.0,13,10,5,3,28,3,4,20,4,1,0,0,0,2016,32.216153846153844,16.03076923076923,4.39,0.0538461538461538,0.0,60.35,42.66,15.14,0.7,0.0,AL,8000.0,9.6,8.2,0.3,1.7,5.4
Pennsylvania,40.590752,-77.209755,2,14.743188416197802,1341.630145874,69.48636936263736,6323.259612,30.555498,30.2985,100.0,-3.6015,22.572462,422.0,12,7,11,0,34,3,3,11,0,8,1,1,0,2016,53.62692307692308,2.3007692307692307,0.0,0.0,0.0,67.29,3.96,0.0,0.0,0.0,PA,11000.0,18.7,3.9,2.4,3.6,4.6
Michigan,44.182205,-84.506836,2,11.868082801373625,1079.995534925,64.7544323956044,5892.653348,28.82249,30.413,100.0,-10.587001,27.764235,270.0,5,4,12,0,41,3,4,7,4,2,2,2,5,2016,4.557692307692308,0.0,0.0,0.0,0.0,31.47,0.0,0.0,0.0,0.0,MI,40000.0,54.1,9.3,1.1,16.5,11.8
Georgia,33.040619,-83.643074,2,22.24777757142857,2024.547759,62.24098878021977,5663.929979,24.184391,37.444,100.0,5.844,17.218218,216.0,6,10,6,1,36,5,7,14,2,4,0,0,0,2016,35.23384615384616,19.34846153846154,4.37,0.1507692307692307,0.0,48.28,32.69,25.21,1.96,0.0,GA,108000.0,59.3,28.4,2.0,28.4,11.7
Montana,46.921925,-110.454353,2,8.062183027582417,733.65865551,66.25057024175824,6028.801892,34.145008,26.337,100.0,-12.813,20.309439,501.0,12,8,5,0,17,5,1,16,3,6,7,4,7,2016,25.955384615384617,8.008461538461539,0.4584615384615385,0.0,0.0,34.94,8.69,2.44,0.0,0.0,MT,62000.0,30.3,7.1,4.5,3.9,6.9
Kentucky,37.66814,-84.670067,2,18.110765062637363,1648.0796207,71.28141903296702,6486.609132,35.105072,33.8805,100.0,-0.5695,29.78693,342.0,9,19,7,1,24,5,4,13,6,3,0,0,0,2016,13.697692307692307,0.3807692307692307,0.0,0.0,0.0,55.32,3.34,0.0,0.0,0.0,KY,5500.0,38.9,36.1,1.7,28.4,16.0
Colorado,39.059811,-105.311104,2,8.048829668351647,732.4434998199999,60.68795840659341,5522.604215,29.620802,29.491,100.0,-14.259001,11.322082,340.0,9,3,10,0,10,12,1,19,2,6,4,2,13,2016,11.663846153846151,1.4838461538461538,0.0269230769230769,0.0,0.0,29.59,7.75,0.35,0.0,0.0,CO,9500.0,38.7,0.8,3.3,1.4,2.6
Arizona,33.729759,-111.431221,2,21.37852554945055,1945.445825,27.94349999450549,2542.8584995,31.63087,42.1,94.780624,2.05,4.27274,74.0,3,0,3,0,29,14,20,13,6,3,0,0,0,2016,99.54076923076924,63.888461538461534,3.2684615384615388,0.0,0.0,100.0,66.75,7.99,0.0,0.0,AZ,22000.0,26.8,47.5,17.2,12.0,17.4
North Carolina,35.630066,-79.806419,3,25.86094941304348,2379.207346,75.49172823913044,6945.238998,25.11758,36.065502,100.0,16.115501,35.121456,360.0,14,13,10,0,23,8,2,14,1,7,0,0,0,2016,21.763076923076923,8.503076923076923,2.9376923076923074,0.0,0.0,47.31,17.51,7.12,0.0,0.0,NC,25000.0,27.8,13.4,0.1,2.9,13.4
Texas,31.054487,-97.563461,3,28.06449402173913,2581.93345,67.99471507608696,6255.513787,28.745949,39.244003,99.69697,13.9939995,22.109636,270.0,6,9,6,2,30,14,3,10,8,4,0,0,0,2016,16.365384615384617,2.923076923076923,0.2684615384615385,0.0,0.0,44.17,10.17,0.93,0.0,0.0,TX,129000.0,47.2,11.4,1.7,31.4,4.1
Michigan,44.182205,-84.506836,3,20.387004130434786,1875.60438,72.9331887826087,6709.853368,26.576681,32.513,100.0,9.063,24.520727,269.0,8,9,6,3,25,9,1,21,7,3,0,0,0,2016,42.60153846153847,7.396923076923077,0.0369230769230769,0.0,0.0,68.28,17.01,0.48,0.0,0.0,MI,108000.0,64.1,25.1,0.3,9.1,6.5
Tennessee,35.747845,-86.692345,3,25.96365486956522,2388.656248,70.68434498913044,6502.959739,20.808498,35.037502,100.0,10.787499,22.463614,313.0,10,6,24,0,16,2,1,19,9,5,0,0,0,2016,52.6,23.79153846153846,10.15153846153846,1.24,0.1061538461538461,74.45,40.43,15.14,3.54,1.38,TN,10000.0,22.5,23.1,1.3,2.4,6.2
Pennsylvania,40.590752,-77.209755,3,23.47143881521739,2159.372371,65.82462273913043,6055.865292,20.008356,35.8485,100.0,10.2985,19.299072,263.0,10,6,7,3,35,6,2,15,3,5,0,0,0,2016,65.37538461538462,18.69076923076923,4.565384615384615,0.0,0.0,81.89,25.91,7.42,0.0,0.0,PA,19000.0,27.3,7.7,1.6,4.3,2.8
Iowa,42.011539,-93.210526,3,22.01390930978261,2025.2796565,76.91738613043479,7076.399524,30.563978,33.333,99.69305,9.733001,37.334526,244.0,6,17,5,4,39,5,0,10,3,3,0,0,0,2016,20.447692307692307,4.099230769230769,0.0,0.0,0.0,47.13,17.85,0.0,0.0,0.0,IA,50000.0,32.6,3.4,0.8,16.7,5.6
Maryland,39.045753,-76.641273,3,24.98019735869565,2298.178157,74.27186852173914,6833.011904,24.569836,34.9155,100.0,15.1154995,36.3637,330.0,7,15,10,2,35,7,0,10,2,4,0,0,0,2016,10.124615384615383,0.3230769230769231,0.0,0.0,0.0,64.96,4.2,0.0,0.0,0.0,MD,7000.0,10.8,4.8,0.1,0.7,1.6
Kansas,38.5266,-96.726486,3,25.0756,2306.9552,71.3856160326087,6567.476675,34.57687,37.7905,99.69594,9.2405,31.026308,338.0,7,16,12,2,21,10,4,9,6,5,0,0,0,2016,5.98,0.1492307692307692,0.0,0.0,0.0,13.33,0.97,0.0,0.0,0.0,KS,8000.0,42.8,25.5,14.1,29.1,4.5
Oklahoma,35.565342,-96.928917,3,27.52444302173913,2532.248758,64.39994226086957,5924.794688,27.959742,38.259,98.20017,12.209001,27.680876,195.0,9,12,3,4,25,13,6,13,7,0,0,0,0,2016,38.669230769230765,10.425384615384615,0.8415384615384615,0.0,0.0,48.0,19.04,3.05,0.0,0.0,OK,3700.0,7.5,6.5,0.3,0.7,21.8
North Dakota,47.528912,-99.784012,3,19.00015965760869,1748.0146885,69.94141380434782,6434.61007,42.24443,33.119,99.69257,5.119,33.800037,262.0,10,14,6,4,24,7,7,15,4,1,0,0,0,2016,10.468461538461538,2.4061538461538463,0.6238461538461538,0.0,0.0,19.47,4.94,1.2,0.0,0.0,ND,510000.0,38.0,11.8,6.3,12.9,9.9
Oregon,44.572021,-122.070938,3,15.09805275326087,1389.0208533,61.02479780434783,5614.281398,18.228943,33.85,100.0,3.05,11.872092,178.0,8,0,0,0,35,4,22,15,7,1,0,0,0,2016,100.0,50.119230769230775,7.465384615384615,0.0,0.0,100.0,50.59,12.3,0.0,0.0,OR,107000.0,52.9,18.5,12.5,9.6,5.1
South Dakota,44.299782,-99.438828,3,22.17685315217392,2040.27049,61.34741840217392,5643.962493,41.079456,37.924,98.45073,7.324,20.340206,138.0,6,5,5,4,31,12,6,18,4,1,0,0,0,2016,62.64538461538461,36.69769230769231,10.43,2.637692307692308,0.0,86.26,51.25,14.93,5.72,0.0,SD,178000.0,48.8,19.5,14.2,22.7,4.6
Kentucky,37.66814,-84.670067,3,24.132062,2220.149704,78.3669294673913,7209.757511,19.513195,32.9305,100.0,9.9305,31.383259,351.0,9,18,9,2,20,3,3,12,8,8,0,0,0,2016,3.555384615384616,0.053076923076923,0.0,0.0,0.0,33.14,0.69,0.0,0.0,0.0,KY,7500.0,42.3,25.7,0.9,11.5,7.4
South Carolina,33.856892,-80.945007,3,27.363960391304342,2517.484356,72.74969565217391,6692.972,41.38121,37.328,99.69896,18.227999,31.908407,312.0,7,14,12,2,17,7,1,26,3,3,0,0,0,2016,35.55615384615385,17.356923076923078,5.513076923076923,0.9653846153846154,0.0,60.04,25.32,11.04,2.7,0.0,SC,13000.0,20.4,18.8,0.1,2.6,2.6
Maine,45.367584,-68.972168,3,19.245159875,1770.5547085,71.13284083695653,6544.221357,26.208395,31.682999,100.0,6.0829997,27.204544,262.0,7,7,10,0,36,5,1,19,5,2,0,0,0,2016,48.61461538461538,15.987692307692308,5.19923076923077,0.7853846153846153,0.0,57.77,40.81,26.75,8.35,0.0,ME,5500.0,9.3,0.1,0.2,0.0,0.6
Minnesota,46.39241,-94.63623,3,19.78118519565217,1819.869038,72.20837243478262,6643.170264,34.338036,33.2695,99.69268,6.2194996,29.928736,270.0,9,17,2,1,35,1,2,15,4,6,0,0,0,2016,4.326153846153845,0.74,0.0884615384615384,0.0,0.0,32.86,7.26,1.15,0.0,0.0,MN,132000.0,47.2,14.6,6.2,22.4,17.8
Indiana,39.849426,-86.258278,3,23.48746685869565,2160.846951,74.64283175,6867.140521,25.922499,32.435,99.69548,10.735001,34.708416,326.0,8,13,8,2,32,8,1,17,1,2,0,0,0,2016,12.235384615384616,0.8992307692307692,0.0,0.0,0.0,29.17,3.22,0.0,0.0,0.0,IN,9500.0,50.4,12.4,1.2,0.6,2.5
Massachusetts,42.407211,-71.382439,3,22.69502172826088,2087.941999,66.77806076086956,6143.58159,23.313995,35.538498,100.0,7.8884997,21.65827,225.0,6,8,9,0,40,3,3,13,4,6,0,0,0,2016,99.68230769230767,85.5823076923077,63.35,18.406923076923075,0.0,100.0,98.13,89.96,52.23,0.0,MA,9500.0,14.1,8.7,6.8,0.1,7.9
Illinois,40.633125,-89.398529,3,23.304655586956525,2144.028314,74.42261395652174,6846.880484,30.24214,33.829,100.0,11.479,27.531761,304.0,7,12,11,1,23,6,2,24,3,3,0,0,0,2016,5.424615384615384,0.463076923076923,0.0,0.0,0.0,22.67,2.78,0.0,0.0,0.0,IL,11000.0,17.4,7.9,0.7,4.3,2.9
Alabama,32.806671,-86.79113,3,27.837860630434783,2561.083178,69.21246079347826,6367.546393,19.523155,35.849503,100.0,14.8995,22.57371,229.0,10,13,8,2,24,7,1,20,5,2,0,0,0,2016,62.98769230769231,36.56692307692308,14.048461538461538,2.563076923076923,0.0,82.87,47.13,18.6,6.36,0.0,AL,8000.0,11.7,42.0,0.0,3.8,13.8
Ohio,40.388783,-82.764915,3,22.652216630434783,2084.00393,72.30297791304348,6651.873968,28.820242,31.924498,99.69316,10.5745,31.652596,363.0,6,13,12,1,26,2,2,19,6,5,0,0,0,2016,61.75384615384615,23.06384615384616,1.123076923076923,0.0,0.0,75.61,46.01,14.6,0.0,0.0,OH,21000.0,60.6,10.6,2.3,2.9,3.6
Louisiana,31.169546,-91.867805,3,27.947000369565217,2571.124034,75.3081556847826,6928.350323,22.101183,36.735,100.0,16.785,28.998425,307.0,13,11,11,2,17,8,2,19,4,5,0,0,0,2016,13.913846153846151,1.6553846153846157,0.0,0.0,0.0,34.58,7.61,0.0,0.0,0.0,LA,51000.0,39.5,26.1,0.0,1.6,9.6
Mississippi,32.741646,-89.678696,3,28.015156695652173,2577.394416,68.84249635869564,6333.509665,27.74103,36.945503,100.0,15.2955,20.524273,235.0,12,11,11,1,19,6,2,21,5,4,0,0,0,2016,58.35923076923076,29.69692307692308,10.173076923076923,0.4515384615384615,0.0,82.11,51.04,24.11,2.59,0.0,MS,19000.0,27.5,3.5,1.6,1.8,5.0
Florida,27.766279,-81.686783,3,26.87423244565217,2472.429385,84.05249602173913,7732.829634,27.219902,33.413002,100.0,21.863,48.239677,549.0,11,44,17,4,2,0,0,10,0,4,0,0,0,2016,8.321538461538461,0.0,0.0,0.0,0.0,16.96,0.0,0.0,0.0,0.0,FL,200000.0,45.1,23.4,2.7,9.9,8.5
New York,42.165726,-74.948051,3,18.82752698913044,1732.132483,74.50022126086957,6854.020356,24.850431,29.191,100.0,4.691,32.432175,330.0,10,10,9,0,34,2,2,15,5,5,0,0,0,2016,88.51384615384616,50.78923076923077,23.807692307692307,4.37,0.0,93.67,64.25,29.5,9.94,0.0,NY,56000.0,37.4,9.0,5.5,5.2,24.7
Georgia,33.040619,-83.643074,3,27.3681625,2517.87095,67.7600267173913,6233.922458,21.9718,35.544003,100.0,15.094,24.018167,217.0,5,3,11,2,23,7,0,26,5,10,0,0,0,2016,64.60230769230769,41.676153846153845,29.49,8.92153846153846,0.1215384615384615,81.32,49.28,34.5,14.67,1.58,GA,102000.0,30.7,16.4,2.4,12.1,7.6
Vermont,44.045876,-72.710686,3,17.756454581521737,1633.5938215,71.86531835869565,6611.609289,23.97989,30.706501,100.0,0.50649995,22.190228,258.0,5,11,11,0,39,6,3,13,1,3,0,0,0,2016,87.3576923076923,17.24153846153846,0.0,0.0,0.0,96.44,43.99,0.0,0.0,0.0,VT,6500.0,5.6,8.0,1.7,0.0,2.4
Nebraska,41.12537,-98.268082,3,23.18374193478261,2132.904258,67.29025581521739,6190.703535,35.369884,35.7565,99.686005,7.3065,23.528494,222.0,8,13,9,0,27,2,9,19,4,1,0,0,0,2016,34.04692307692308,4.896923076923077,0.3223076923076923,0.0,0.0,43.66,10.35,0.97,0.0,0.0,NE,45000.0,20.4,1.6,0.1,10.2,1.6
